aalen, ich aal(e)⁵ mich, du aalst dich, er aalt sich, wir aalen uns, ihr aalt euch, sie aalen sich, ich aalte mich, du aaltest dich, er aalte sich, wir aalten uns, ihr aaltet euch, sie aalten sich, ich habe mich geaalt, du hast dich geaalt, er hat sich geaalt, wir haben uns geaalt, ihr habt euch geaalt, sie haben sich geaalt, ich hatte mich geaalt, du hattest dich geaalt, er hatte sich geaalt, wir hatten uns geaalt, ihr hattet euch geaalt, sie hatten sich geaalt, ich werde mich aalen, du wirst dich aalen, er wird sich aalen, wir werden uns aalen, ihr werdet euch aalen, sie werden sich aalen, ich werde mich geaalt haben, du wirst dich geaalt haben, er wird sich geaalt haben, wir werden uns geaalt haben, ihr werdet euch geaalt haben, sie werden sich geaalt haben
aasen, ich aas(e)⁵, du aast, er aast, wir aasen, ihr aast, sie aasen, ich aaste, du aastest, er aaste, wir aasten, ihr aastet, sie aasten, ich habe geaast, du hast geaast, er hat geaast, wir haben geaast, ihr habt geaast, sie haben geaast, ich hatte geaast, du hattest geaast, er hatte geaast, wir hatten geaast, ihr hattet geaast, sie hatten geaast, ich werde aasen, du wirst aasen, er wird aasen, wir werden aasen, ihr werdet aasen, sie werden aasen, ich werde geaast haben, du wirst geaast haben, er wird geaast haben, wir werden geaast haben, ihr werdet geaast haben, sie werden geaast haben
abändern, ich änd(e)⁴r(e)⁵ ab, du änderst ab, er ändert ab, wir ändern ab, ihr ändert ab, sie ändern ab, ich änderte ab, du ändertest ab, er änderte ab, wir änderten ab, ihr ändertet ab, sie änderten ab, ich habe abgeändert, du hast abgeändert, er hat abgeändert, wir haben abgeändert, ihr habt abgeändert, sie haben abgeändert, ich hatte abgeändert, du hattest abgeändert, er hatte abgeändert, wir hatten abgeändert, ihr hattet abgeändert, sie hatten abgeändert, ich werde abändern, du wirst abändern, er wird abändern, wir werden abändern, ihr werdet abändern, sie werden abändern, ich werde abgeändert haben, du wirst abgeändert haben, er wird abgeändert haben, wir werden abgeändert haben, ihr werdet abgeändert haben, sie werden abgeändert haben
abängstigen, ich ängstige mich ab, du ängstigst dich ab, er ängstigt sich ab, wir ängstigen uns ab, ihr ängstigt euch ab, sie ängstigen sich ab, ich ängstigte mich ab, du ängstigtest dich ab, er ängstigte sich ab, wir ängstigten uns ab, ihr ängstigtet euch ab, sie ängstigten sich ab, ich habe mich abgeängstigt, du hast dich abgeängstigt, er hat sich abgeängstigt, wir haben uns abgeängstigt, ihr habt euch abgeängstigt, sie haben sich abgeängstigt, ich hatte mich abgeängstigt, du hattest dich abgeängstigt, er hatte sich abgeängstigt, wir hatten uns abgeängstigt, ihr hattet euch abgeängstigt, sie hatten sich abgeängstigt, ich werde mich abängstigen, du wirst dich abängstigen, er wird sich abängstigen, wir werden uns abängstigen, ihr werdet euch abängstigen, sie werden sich abängstigen, ich werde mich abgeängstigt haben, du wirst dich abgeängstigt haben, er wird sich abgeängstigt haben, wir werden uns abgeängstigt haben, ihr werdet euch abgeängstigt haben, sie werden sich abgeängstigt haben
abarbeiten, ich arbeit(e)⁵ ab, du arbeitest ab, er arbeitet ab, wir arbeiten ab, ihr arbeitet ab, sie arbeiten ab, ich arbeitete ab, du arbeitetest ab, er arbeitete ab, wir arbeiteten ab, ihr arbeitetet ab, sie arbeiteten ab, ich habe abgearbeitet, du hast abgearbeitet, er hat abgearbeitet, wir haben abgearbeitet, ihr habt abgearbeitet, sie haben abgearbeitet, ich hatte abgearbeitet, du hattest abgearbeitet, er hatte abgearbeitet, wir hatten abgearbeitet, ihr hattet abgearbeitet, sie hatten abgearbeitet, ich werde abarbeiten, du wirst abarbeiten, er wird abarbeiten, wir werden abarbeiten, ihr werdet abarbeiten, sie werden abarbeiten, ich werde abgearbeitet haben, du wirst abgearbeitet haben, er wird abgearbeitet haben, wir werden abgearbeitet haben, ihr werdet abgearbeitet haben, sie werden abgearbeitet haben
abäsen, ich äs(e)⁵ ab, du äst ab, es äst ab, wir äsen ab, ihr äst ab, sie äsen ab, ich äste ab, du ästest ab, es äste ab, wir ästen ab, ihr ästet ab, sie ästen ab, ich habe abgeäst, du hast abgeäst, es hat abgeäst, wir haben abgeäst, ihr habt abgeäst, sie haben abgeäst, ich hatte abgeäst, du hattest abgeäst, es hatte abgeäst, wir hatten abgeäst, ihr hattet abgeäst, sie hatten abgeäst, ich werde abäsen, du wirst abäsen, es wird abäsen, wir werden abäsen, ihr werdet abäsen, sie werden abäsen, ich werde abgeäst haben, du wirst abgeäst haben, es wird abgeäst haben, wir werden abgeäst haben, ihr werdet abgeäst haben, sie werden abgeäst haben
abasten, ich ast(e)⁵ mir/mich³ ab, du astest dir/dich³ ab, er astet sich ab, wir asten uns ab, ihr astet euch ab, sie asten sich ab, ich astete mir/mich³ ab, du astetest dir/dich³ ab, er astete sich ab, wir asteten uns ab, ihr astetet euch ab, sie asteten sich ab, ich habe mir/mich³ abgeastet, du hast dir/dich³ abgeastet, er hat sich abgeastet, wir haben uns abgeastet, ihr habt euch abgeastet, sie haben sich abgeastet, ich hatte mir/mich³ abgeastet, du hattest dir/dich³ abgeastet, er hatte sich abgeastet, wir hatten uns abgeastet, ihr hattet euch abgeastet, sie hatten sich abgeastet, ich werde mir/mich³ abasten, du wirst dir/dich³ abasten, er wird sich abasten, wir werden uns abasten, ihr werdet euch abasten, sie werden sich abasten, ich werde mir/mich³ abgeastet haben, du wirst dir/dich³ abgeastet haben, er wird sich abgeastet haben, wir werden uns abgeastet haben, ihr werdet euch abgeastet haben, sie werden sich abgeastet haben
abästen, ich äst(e)⁵ ab, du ästest ab, er ästet ab, wir ästen ab, ihr ästet ab, sie ästen ab, ich ästete ab, du ästetest ab, er ästete ab, wir ästeten ab, ihr ästetet ab, sie ästeten ab, ich habe abgeästet, du hast abgeästet, er hat abgeästet, wir haben abgeästet, ihr habt abgeästet, sie haben abgeästet, ich hatte abgeästet, du hattest abgeästet, er hatte abgeästet, wir hatten abgeästet, ihr hattet abgeästet, sie hatten abgeästet, ich werde abästen, du wirst abästen, er wird abästen, wir werden abästen, ihr werdet abästen, sie werden abästen, ich werde abgeästet haben, du wirst abgeästet haben, er wird abgeästet haben, wir werden abgeästet haben, ihr werdet abgeästet haben, sie werden abgeästet haben
abatmen, ich atme ab, du atmest ab, er atmet ab, wir atmen ab, ihr atmet ab, sie atmen ab, ich atmete ab, du atmetest ab, er atmete ab, wir atmeten ab, ihr atmetet ab, sie atmeten ab, ich habe abgeatmet, du hast abgeatmet, er hat abgeatmet, wir haben abgeatmet, ihr habt abgeatmet, sie haben abgeatmet, ich hatte abgeatmet, du hattest abgeatmet, er hatte abgeatmet, wir hatten abgeatmet, ihr hattet abgeatmet, sie hatten abgeatmet, ich werde abatmen, du wirst abatmen, er wird abatmen, wir werden abatmen, ihr werdet abatmen, sie werden abatmen, ich werde abgeatmet haben, du wirst abgeatmet haben, er wird abgeatmet haben, wir werden abgeatmet haben, ihr werdet abgeatmet haben, sie werden abgeatmet haben
abätzen, ich ätz(e)⁵ ab, du ätzt ab, er ätzt ab, wir ätzen ab, ihr ätzt ab, sie ätzen ab, ich ätzte ab, du ätztest ab, er ätzte ab, wir ätzten ab, ihr ätztet ab, sie ätzten ab, ich habe abgeätzt, du hast abgeätzt, er hat abgeätzt, wir haben abgeätzt, ihr habt abgeätzt, sie haben abgeätzt, ich hatte abgeätzt, du hattest abgeätzt, er hatte abgeätzt, wir hatten abgeätzt, ihr hattet abgeätzt, sie hatten abgeätzt, ich werde abätzen, du wirst abätzen, er wird abätzen, wir werden abätzen, ihr werdet abätzen, sie werden abätzen, ich werde abgeätzt haben, du wirst abgeätzt haben, er wird abgeätzt haben, wir werden abgeätzt haben, ihr werdet abgeätzt haben, sie werden abgeätzt haben
